08-05-2019 15:52:05.313,-,API,"D200K,0013A200417E381A,XBee PRO 900HP 200K,8075,COM3 - 9600/8/N/1/N,3"
08-05-2019 15:53:01.295,16,RECV,7E006D900013A200417E3816FFFE4100000011DFF4F5F4F4F9C000452B399CCCCC0C00CCCFF1CCF1CCF078FFEEC16860F1F6C193B95FFF0B78CA0B10C9B38C0B06C0B19CA0B06C40B06C17B38CA2B56C359B94C4B62C0B50C0B79CA0B09C9B77C23B96C100015B09C59B92C193B43C3172
08-05-2019 15:53:01.415,17,RECV,7E006D900013A200417E3816FFFE4100000012DFF4F5F4F4F9C000452B399CCCCC0C00CCCFF1CCF1CCF078FFEEC16918F1F6C193B95FFF0B77CA0B10C9B36C0B00CA0B19C0B06C40B75C17B38CA4B19C359B94C4B62C0B50C0B79CA0B09C9B77C23B96C100015B09C59B92C193B43C31B9
08-05-2019 15:53:02.765,18,RECV,7E0071900013A200417E3816FFFE4100000013DFF4F5F2F1FBC000453B800CF7CCCCC0B00C0B00C060180CCCF3F048FFEEC18331F1F6C193B95FFF0B76CA0B10C9B41C0B00CA0B06C0B06C40B06C16B69CA3B38C359B94C4B62C0B50C0B79CA0B09C9B77C23B97C100018B92C59B69C193B11C317A
08-05-2019 15:53:02.925,19,RECV,7E0071900013A200417E3816FFFE4100000014DFF4F5F2F1FBC000453B800CF7CCCCC0B00C0B00C060180CCCF3F048FFEEC18331F1F6C193B95FFF0B76CA0B10C9B41C0B00CA0B06C0B06C40B06C16B69CA3B38C359B94C4B62C0B50C0B79CA0B09C9B77C23B97C100018B92C59B69C193B11C3179
08-05-2019 15:53:03.865,20,RECV,7E0071900013A200417E3816FFFE4100000015DFF4F5F2F1FBC000454B800CF7CCCCC0B00C0B00C060180CCCF3F04FFEFFEEC19433F1F6C193B95FFF0B74CA0B11C9B37C0B00C0B06C0B12C40B06C17B75CA2B25C359B94C4B62C0B50C0B79CA0B09C9B77C23B97C100014B92C59B65C193B45C3E5
08-05-2019 15:53:04.025,21,RECV,7E0071900013A200417E3816FFFE4100000016DFF4F5F2F1FBC000454B800CF7CCCCC0B00C0B00C060180CCCF3F04FFEFFEEC19433F1F6C193B95FFF0B74CA0B11C9B37C0B00C0B06C0B12C40B06C17B75CA2B25C359B94C4B62C0B50C0B79CA0B09C9B77C23B97C100014B92C59B65C193B45C3E4
08-05-2019 15:53:05.296,22,RECV,7E006D900013A200417E3816FFFE4100000017DFF4F5F4F4F9C000456B399CCCCC0C00CCCFF1CCF1CCF07FFBFFEEC20848F1F6C193B95FFF0B75CA0B10C9B39C0B06C0B00C0B00C39B38C18B56CA4B88C359B94C4B62C0B50C0B79CA0B09C9B77C23B97C100016B80C59B34C193B29C385
08-05-2019 15:53:05.406,23,RECV,7E006E900013A200417E3816FFFE4100000018DFF4F5F4F4F9C000456B399CCCCC0C00CCCFF1CCF1CCF07FFBFFEEC20903F1F6C193B95FFF0B76CA0B11C9B37C0B06C0B06CA0B12C39B38C17B06CA4B56C359B94C4B62C0B50C0B79CA0B09C9B77C23B97C100016B80C59B34C193B29C31E2
08-05-2019 15:53:06.766,24,RECV,7E0071900013A200417E3816FFFE4100000019DFF4F5F2F1FBC000457B800CF7CCCCC0B00C0B00C060180CCCF3F04FFBFFEEC22328F1F6C193B95FFF0B77CA0B11C9B39C0B00C0B00C0B06C39B00C18B56CA3B38C359B94C4B62C0B50C0B79CA0B09C9B77C23B97C100017B74C59B13C193B21C303
08-05-2019 15:53:06.926,25,RECV,7E0071900013A200417E3816FFFE410000001ADFF4F5F2F1FBC000457B800CF7CCCCC0B00C0B00C060180CCCF3F04FFBFFEEC22328F1F6C193B95FFF0B77CA0B11C9B39C0B00C0B00C0B06C39B00C18B56CA3B38C359B94C4B62C0B50C0B79CA0B09C9B77C23B97C100017B74C59B13C193B21C302
